base_score,[556.60445247]
age,Score
"(-inf, 41.0]",-5.586125729097363
"(41.0, 52.0]",-2.6381583958053634
"(52.0, 56.0]",0.3625741521450838
"(56.0, 63.0]",4.579574128451267
"(63.0, inf]",12.285605069629124
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.113]",22.21598926154489
"(0.113, 0.35]",11.543192504931069
"(0.35, 0.694]",-3.0208360678489194
"(0.694, 0.847]",-14.027384277419854
"(0.847, 1.0]",-19.813657602768973
"(1.0, inf]",-36.01183422541009
DebtRatio,Score
"(-inf, 0.416]",3.077136696746144
"(0.416, 0.654]",-3.977223127240301
"(0.654, 5.0]",-12.615866823986286
"(5.0, inf]",3.9142056831838064
MonthlyIncome,Score
"(-inf, 0.17]",10.78649684444286
"(0.17, 6615.0]",-2.56403187574444
"(6615.0, inf]",3.640436206148719
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 2.0]",-3.679141921910181
"(2.0, 5.0]",-0.12627746286082536
"(5.0, 8.0]",1.3832129829263007
"(8.0, 13.0]",0.6654588571704366
"(13.0, inf]",-0.44537458459834156
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",8.185854439424899
"(0.0, 1.0]",-13.878686734035705
"(1.0, 2.0]",-25.14038206062531
"(2.0, inf]",-35.050085637151064
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",5.996931648676247
"(0.0, 1.0]",-31.17320884784195
"(1.0, 2.0]",-41.781916630778476
"(2.0, inf]",-49.4299965513988
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-3.649907988089083
"(0.0, 1.0]",3.9464093133745948
"(1.0, 2.0]",3.2829361287119005
"(2.0, 4.0]",-2.4936955787981505
"(4.0, inf]",-15.880452403770356
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",3.202208044768869
"(0.0, 1.0]",-21.444082529270748
"(1.0, 2.0]",-30.987943720856855
"(2.0, inf]",-35.29609260386498
NumberOfDependents,Score
"(-inf, 0.0]",0.8349246209069152
"(0.0, 1.0]",-0.5073387301262386
"(1.0, 2.0]",-1.1318040911532419
"(2.0, inf]",-2.0427168782323966
