,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0,0.463961337,26,0,0.207480593,4250.0,11,0,0,0,0.0
1,0,0.712878434,28,0,0.27368076,3050.0,6,0,0,0,0.0
2,0,0.730467076,39,0,0.036161664,4230.0,1,1,0,0,3.0
3,0,0.843361822,48,0,0.425087984,11933.0,6,0,1,0,0.0
4,0,0.673823692,32,0,1.436249285,1748.0,8,0,1,0,2.0
5,0,0.019454914,69,0,1115.0,0.07,4,0,1,0,0.0
6,0,0.025824929,42,0,0.023813852,5500.0,10,0,0,0,1.0
7,0,0.011359546,44,0,0.137641412,5833.0,4,0,0,0,1.0
8,0,0.159996347,28,0,0.812286689,2343.0,20,0,1,0,0.0
9,0,0.422857242,65,0,0.480689369,4815.0,16,0,1,0,0.0
10,0,0.005006923,41,0,0.915297815,7000.0,13,0,1,0,0.0
11,0,0.424661113,41,0,0.508900268,4100.0,11,0,0,0,3.0
12,0,0.561506854,61,0,5743.0,0.01,13,0,1,0,0.0
13,0,0.9999999,51,0,0.401439424,2500.0,3,0,0,0,0.0
14,0,0.098288039,42,0,0.264147171,5000.0,13,0,0,0,2.0
15,0,0.218683055,62,0,0.215753805,9000.0,8,0,1,0,0.0
16,0,0.010422046,88,0,0.001802885,3327.0,3,0,0,0,0.0
17,0,0.220807155,58,2,725.0,0.0,14,0,0,1,1.0
18,1,0.9999999,44,1,0.658101356,1400.0,5,1,0,0,2.0
19,0,0.0,46,0,1087.0,0.33,5,0,1,0,0.0
20,0,0.340229678,54,0,1890.0,0.42,8,0,2,0,0.0
21,0,0.087916513,60,0,114.0,0.16,2,0,0,0,0.0
22,0,0.025626326,68,0,0.272539573,2905.0,11,0,0,0,0.0
23,0,0.012835629,75,0,0.008330556,3000.0,6,0,0,0,0.0
24,0,0.0,54,0,835.0,0.0,11,0,0,0,1.0
25,0,0.028911786,69,0,0.290335203,7666.0,8,0,1,0,0.0
26,0,0.08214051,46,0,1129.0,0.09,5,0,1,0,0.0
27,0,0.024950966,36,0,0.390630468,20000.0,13,0,3,0,1.0
28,0,0.07679674,37,0,1750.0,0.07,6,0,1,0,0.0
29,0,0.233013696,59,0,0.524781961,4700.0,9,0,1,0,1.0
